date,White,Wheat,Glutenfree
06-17-2020,2.143385826414195,1.2987666450663928,4.575537510460236
06-18-2020,2.2058686724599537,2.0300964029291277,2.642021598359897
06-19-2020,2.041574044516316,3.1230415238476423,4.858916929050048
06-20-2020,1.0886319966733324,1.0809166823435308,1.6828412780641413
06-21-2020,1.9759693697185092,1.5505329436695277,1.5416275344925103
06-22-2020,1.8708734831768181,3.2084041889438595,3.262646113077414
06-23-2020,2.262541134639739,1.5408151540335386,2.7765320068840413
06-24-2020,1.03144854239238,1.5581354852399982,2.0367311460073956
06-25-2020,1.4104340091350234,2.4991781143032314,4.850888501924791
06-26-2020,1.1746913056898594,2.0932251351114584,1.6796758183822664
06-27-2020,1.974814267125782,1.2064054060182636,1.845524661743668
06-28-2020,2.4298071147971223,2.18205731380041,3.7852204944091765
06-29-2020,1.3002248920696302,3.5041111491079233,2.437423264661096
06-30-2020,1.5432986297593143,1.4252941191196986,2.313108535815994
07-01-2020,1.183963407843141,3.0056246036470755,3.5840140893522032
07-02-2020,1.1607265774684574,3.899127896423,2.58815547326185
07-03-2020,2.620736212740926,2.942926559957283,3.5865849399937977
07-04-2020,1.11372755413643,2.1504246386490684,5.345401638510081
07-05-2020,1.8591301240287905,1.4822772900173646,2.20036115869482
07-06-2020,2.192920835808107,2.448908902203785,2.6492033337260597
07-07-2020,1.05526386288797,1.0083602792782744,5.240983284946131
07-08-2020,1.6358282192319102,1.6931224379732455,3.2737977998845147
07-09-2020,2.2605352549000894,1.9239854978142037,2.0759051130441493
07-10-2020,1.8171539768198548,3.40639494854338,1.9135972550217284
07-11-2020,2.272211300496883,3.8368569991684405,4.44386061432043
07-12-2020,2.5475891990097934,1.2146011328139967,1.5852236857252016
07-13-2020,2.7496335695699514,2.8605100570289768,2.475109432490681
07-14-2020,1.2424436489649617,3.100805491782547,2.188295106638976
07-15-2020,1.72824317533052,3.739316234710147,4.443833126318184
07-16-2020,1.4859447623613284,2.6457521699998257,3.09512911720822
07-17-2020,1.7369521067766824,3.1273149846468633,4.079054524096367
07-18-2020,1.2906937362198256,2.6193385339788917,4.618637353187271
07-19-2020,2.7497768919642978,2.9164537517109794,2.761412731030589
07-20-2020,1.0922069133784336,2.7797208332241086,4.738626400235264
07-21-2020,1.5002429287969128,1.60166932970722,5.3805723215656505
07-22-2020,1.9373637055073698,1.7850131709650845,3.926555637250396
07-23-2020,1.1886813286547708,3.5824672563170807,3.845479559203736
07-24-2020,1.6317345659572329,2.2860530525773104,3.1940679854546965
07-25-2020,1.4572060321394116,2.265217161930015,5.411498661955283
07-26-2020,1.0198820756541715,2.094268623244956,3.069093487576634
07-27-2020,2.911603954393659,3.8220018211226625,2.2972382434957144
07-28-2020,2.8362092860175836,1.6966864040284713,1.9233799913132055
07-29-2020,2.3588629725390313,2.696751963628845,2.7420036780010117
07-30-2020,1.6900850858160539,3.431659183141212,1.6823699181664349
07-31-2020,1.6897476548793424,2.60450186824239,3.411588017577582
08-01-2020,1.2262734535796713,1.6329614997623383,3.3684541988482795
08-02-2020,1.9950909099784815,1.6345517997713648,3.9640196591990113
08-03-2020,1.4507221224221778,3.9026058510004082,4.172986953667948
08-04-2020,2.799314803550983,3.8150382767643087,4.444556562125678
08-05-2020,2.242659086280517,1.1060768352221297,4.532024071042247
08-06-2020,1.664852854985966,3.9241125466150133,1.7891630244664576
